Project,Task,Rank Min,Rank Max,Alpha Min,Alpha Max,LR,Rank Avg,Median ± Std
adaptive_rank_allocation_l_r,cola,5.0,25.0,0.5,3.0,0.001,20.0,67.84 ± 0.87
adaptive_rank_allocation_l_r,cola,5.0,25.0,0.5,3.0,0.02,20.0,67.75 ± 1.81
adaptive_rank_allocation_l_r,cola,5.0,25.0,0.5,3.0,0.002,20.0,67.30 ± 0.37
adaptive_rank_allocation_l_r,cola,5.0,25.0,0.5,3.0,0.01,20.0,67.05 ± 1.04
adaptive_rank_allocation_l_r,cola,5.0,25.0,0.5,3.0,0.005,20.0,66.94 ± 0.52
adaptive_rank_allocation_random_init,cola,5.0,25.0,0.5,3.0,0.002,20.0,68.22 ± 1.05
adaptive_rank_allocation_random_init,cola,5.0,25.0,0.5,3.0,0.01,20.0,67.60 ± 0.94
adaptive_rank_allocation_random_init,cola,5.0,25.0,0.5,3.0,0.02,20.0,67.48 ± 0.85
adaptive_rank_allocation_random_init,cola,5.0,25.0,0.5,3.0,0.005,20.0,66.94 ± 1.20
adaptive_rank_allocation_random_init,cola,5.0,25.0,0.5,3.0,0.001,20.0,65.92 ± 0.80
adaptive_rank_allocation_quadratic_init,cola,5.0,25.0,0.5,3.0,0.02,20.0,68.13 ± 0.84
adaptive_rank_allocation_quadratic_init,cola,5.0,25.0,0.5,3.0,0.002,20.0,67.92 ± 0.46
adaptive_rank_allocation_quadratic_init,cola,5.0,25.0,0.5,3.0,0.01,20.0,67.10 ± 1.46
adaptive_rank_allocation_quadratic_init,cola,5.0,25.0,0.5,3.0,0.005,20.0,66.94 ± 1.20
adaptive_rank_allocation_quadratic_init,cola,5.0,25.0,0.5,3.0,0.001,20.0,65.92 ± 0.80
adaptive_rank_allocation_left_skewed_init,cola,5.0,25.0,0.5,3.0,0.005,20.0,67.78 ± 1.21
adaptive_rank_allocation_left_skewed_init,cola,5.0,25.0,0.5,3.0,0.01,20.0,67.19 ± 2.00
adaptive_rank_allocation_left_skewed_init,cola,5.0,25.0,0.5,3.0,0.001,20.0,67.16 ± 0.99
adaptive_rank_allocation_left_skewed_init,cola,5.0,25.0,0.5,3.0,0.002,20.0,67.14 ± 0.92
adaptive_rank_allocation_left_skewed_init,cola,5.0,25.0,0.5,3.0,0.02,20.0,65.56 ± 0.95
90_percent_memory_experiment,cola,5.0,25.0,0.5,3.0,0.002,15.0,67.45 ± 0.43
90_percent_memory_experiment,cola,5.0,25.0,0.5,3.0,0.01,15.0,68.16 ± 1.44
90_percent_memory_experiment,cola,5.0,25.0,0.5,3.0,0.002,15.0,67.45 ± 0.43
adaptive_rank_allocation_l_r,cola,5.0,25.0,0.5,3.0,0.001,20.0,67.67 ± 0.87
adaptive_rank_allocation_l_r,cola,5.0,25.0,0.5,3.0,0.01,20.0,67.46 ± 1.04
adaptive_rank_allocation_l_r,cola,5.0,25.0,0.5,3.0,0.002,20.0,67.32 ± 0.37
adaptive_rank_allocation_l_r,cola,5.0,25.0,0.5,3.0,0.005,20.0,66.98 ± 0.52
adaptive_rank_allocation_l_r,cola,5.0,25.0,0.5,3.0,0.02,20.0,66.90 ± 1.81
